,PARK_NO,PARK_NAME,ITEM_ID,ITEM_TYPE,DESCRIPTION,EASTING,NORTHING,ORIG_FID,LONGITUDE,LATITUDE,FIXED
183,D0662,KENNA STREET PARK,45827,BBQ,ELECTRIC BBQ,"501,280.91","6,971,591.01",141829095,153.0129541,-27.37895316,ELECTRIC
184,D0662,KENNA STREET PARK,34284,BBQ,ELECTRIC BBQ,"501,267.93","6,971,605.84",141829095,153.0128228,-27.37881929,ELECTRIC
185,D2112,BEDGOOD PARK,172963,BBQ,ELECTRIC BBQ,"500,526.18","6,962,335.86",141829095,153.0053254,-27.46250965,ELECTRIC
186,D2083,SUNSET PLACE PARK,46736,BBQ,ELECTRIC BBQ,"498,417.9","6,971,310.36",141829095,152.9839995,-27.38148658,ELECTRIC
187,D0023,ROBINSON PARK (FAIRFIELD),48419,BBQ,ELECTRIC BBQ,"502,303.43","6,957,268.3",141829095,153.02332230000002,-27.50825757,ELECTRIC
188,D1768,STREISAND DRIVE PARK,172662,BBQ,ELECTRIC BBQ,"498,143.75","6,972,168.66",141829095,152.98122819999998,-27.37373741,ELECTRIC
189,D0366,MOWBRAY PARK,32731,BBQ,ELECTRIC BBQ -,"504,356.24","6,960,620.69",141829095,153.0440949,-27.477987300000002,ELECTRIC
190,D0216,FREDERICK ANNAND PARK,48143,BBQ,ELECTRIC BBQ - DOUBLE,"501,832.99","6,971,580.98",141829095,153.0185374,-27.37904309,ELECTRIC
191,D0017,FENWICK PARK,179566,BBQ,Electric BBQ & Conc Slab & Elec Conn,"497,145.78","6,967,913.37",141829095,152.971126,-27.41215283,ELECTRIC
192,D0541,TONKS STREET PARK,47231,BBQ,Electric BBQ & SLAB,"501,916.75","6,953,755.41",141829095,153.01941269999998,-27.53997226,ELECTRIC
193,D0478,GREGORY PARK,49318,BBQ,Electric BBQ (hexagonal),"499,936","6,961,894",141829095,152.99935219999998,-27.46649886,ELECTRIC
194,D0478,GREGORY PARK,49259,BBQ,Electric BBQ (hexagonal),"499,915","6,961,925",141829095,152.9991397,-27.46621899,ELECTRIC
195,D0024,KEITH PAYNE PARK,179527,BBQ,Electric BBQ and Pad,"502,154.55","6,968,207.1",141829095,153.0217954,-27.4095023,ELECTRIC
196,D0805,J.C.TROTTER MEMORIAL PARK,79320,BBQ,Electric bbq dble,"517,429.5","6,952,642.49",141829095,153.17654040000002,-27.54990881,ELECTRIC
197,D0178,BOWMAN PARK,49369,BBQ,Electric BBQ Dble,"497,692.84","6,962,978.29",141829095,152.97665080000002,-27.45670793,ELECTRIC
198,D2171,SANCTUARY DRIVE PARK,49716,BBQ,Electric BBQ Dble,"498,386","6,943,150",141829095,152.98363930000002,-27.63571656,ELECTRIC
199,D0709,ANSTEAD BUSHLAND RESERVE,48294,BBQ,Electric BBQ Dble & shelter,"486,278.68","6,953,389.09",141829095,152.86102749999998,-27.54321125,ELECTRIC
200,D0572,LES ATKINSON PARK,49520,BBQ,Electric BBQ Dble @ Beenleigh Rd area,"505,615.17","6,948,760.01",141829095,153.0568933,-27.58505978,ELECTRIC
201,D0305,SHERWOOD FOREST PARK,48704,BBQ,Electric BBQ dble Ellipse shape,"497,364","6,954,624",141829095,152.97330469999997,-27.53212951,ELECTRIC
202,D2141,HINCHINBROOK CIRCUIT PARK,49690,BBQ,Electric BBQ Dble on concrete & S/s bench,"497,985","6,943,005",141829095,152.9795743,-27.63702504,ELECTRIC
203,D0096,CITY BOTANIC GARDENS,132737,BBQ,ELECTRIC BBQ ON BRICK BENCHTOP,"502,784.48","6,960,509.13",141829095,153.0281855,-27.478998600000004,ELECTRIC
204,D0582,THRUSH STREET PARK,71925,BBQ,Electric BBQ on concrete slab,"497,812.5","6,947,121.14",141829095,152.9778331,-27.599865100000002,ELECTRIC
205,D0582,THRUSH STREET PARK,71938,BBQ,Electric BBQ on concrete slab,"497,745.09","6,947,125.44",141829095,152.97715,-27.59982617,ELECTRIC
206,D2613,WESTAWAY PARK,135805,BBQ,ELECTRIC BBQ ON MARBLE BENCHTOP,"487,447.14","6,950,327.16",141829095,152.87283,-27.57086523,ELECTRIC
207,D0113,PERTH STREET PARK,161587,BBQ,Electric BBQ on slab,"507,305.67","6,959,738.71",141829095,153.0739551,-27.48593714,ELECTRIC
208,D0031,HEMMANT RECREATION RESERVE,123077,BBQ,"Electric BBQ powerlink queensland, octagon shaped","512,412.35","6,963,662.28",141829095,153.12560969999998,-27.4504782,ELECTRIC
209,D1279,THE LAKE PARKLANDS,121419,BBQ,Electric BBQ rectangle shaped,"496,313.4","6,944,872.05",141829095,152.9626352,-27.62016619,ELECTRIC
210,D0545,TOOHEY FOREST PARK,84673,BBQ,Electric BBQ rectangle shaped,"504,036.93","6,954,164.19",141829095,153.0408844,-27.53627718,ELECTRIC
211,D0545,TOOHEY FOREST PARK,84676,BBQ,Electric BBQ rectangle shaped,"504,061.63","6,954,169.54",141829095,153.0411345,-27.53622881,ELECTRIC
212,D1279,THE LAKE PARKLANDS,117034,BBQ,Electric bbq rectangle shaped tile bench top,"496,739.4","6,944,706.13",141829095,152.9669524,-27.62166518,ELECTRIC
213,D0680,KANGAROO POINT CLIFFS PARK,118853,BBQ,Electric BBQ single,"503,326.4","6,960,512.17",141829095,153.0336709,-27.47896993,ELECTRIC
214,D0799,NILKERIE STREET PARK,48087,BBQ,ELECTRIC BBQ SINGLE,"502,504.23","6,975,209.33",141829095,153.0253184,-27.34628481,ELECTRIC
215,D0275,DECKER PARK,45868,BBQ,Electric BBQ single,"506,373.07","6,981,916.86",141829095,153.06439840000002,-27.28571544,ELECTRIC
216,D0680,KANGAROO POINT CLIFFS PARK,118855,BBQ,Electric BBQ single,"503,362","6,960,591",141829095,153.0340311,-27.47825817,ELECTRIC
217,D0172,ORIEL PARK,48537,BBQ,Electric BBQ single,"505,729.2","6,966,008.45",141829095,153.0579669,-27.42934148,ELECTRIC
218,D2138,WHITMORE STREET PARK,47936,BBQ,ELECTRIC BBQ SINGLE,"498,758.98","6,959,178.87",141829095,152.9874366,-27.49101043,ELECTRIC
219,D1463,HAMISH STREET PARK,47789,BBQ,ELECTRIC BBQ SINGLE,"504,330.15","6,944,945.41",141829095,153.0438871,-27.61950201,ELECTRIC
220,D1576,PAT RAFTER PARK,48739,BBQ,Electric BBQ single,"500,940.25","6,975,747.3",141829095,153.00950569999998,-27.34142991,ELECTRIC
221,D0612,BELLEVUE AVENUE PARK,50039,BBQ,Electric BBQ Single,"498,195.55","6,968,100.58",141829095,152.981746,-27.41046448,ELECTRIC
222,D0305,SHERWOOD FOREST PARK,48706,BBQ,Electric BBQ single (hexagonal),"497,393","6,954,552",141829095,152.9735982,-27.53277957,ELECTRIC
223,D0909,ALLAWAH STREET PARK,48685,BBQ,Electric BBQ single (this BBQ may be in D0810),"507,170","6,948,355",141829095,153.0726493,-27.58870879,ELECTRIC
224,D0054,LAVARACK PARK,123935,BBQ,Electric bbq single on 3x1 m table,"508,298.86","6,959,331.66",141829095,153.0840119,-27.48960626,ELECTRIC
225,D1470,NORTHUMBRIA ROAD PARK,71701,BBQ,Electric BBQ single on a 3m x 3m concrete slab,"507,305.18","6,973,993.48",141829095,153.0738645,-27.35724444,ELECTRIC
226,D0193,TENNIS AVENUE PARK,49880,BBQ,Electric BBQ Single on slab,"500,188.52","6,964,468.25",141829095,153.00190759999998,-27.443258500000002,ELECTRIC
227,D0509,BRADSHAW PARK,179613,BBQ,"Electric BBQ,  Slab and Electric Connection","503,188.11","6,967,074.52",141829095,153.0322539,-27.41972527,ELECTRIC
228,D0276,SANDGATE FORESHORES PARK,3753,BBQ,Electric Dble,"506,884.42","6,978,877.92",141829095,153.0695825,-27.31314913,ELECTRIC
229,D0346,ORLEIGH PARK,1002,BBQ,Electric Dble,"500,247.63","6,959,293.17",141829095,153.00250680000002,-27.48997908,ELECTRIC
230,D0219,JOHN STEWART MEMORIAL PARK,43105,BBQ,Electric Dble,"500,882","6,977,410",141829095,153.0089157,-27.32641882,ELECTRIC
231,D0711,HAROLD KIELLY PARK,33000,BBQ,Electric Dble,"502,100","6,979,193",141829095,153.0212247,-27.31032023,ELECTRIC
232,D0097,RAYMOND PARK,33373,BBQ,Electric Dble,"503,823","6,960,372",141829095,153.0386981,-27.48023408,ELECTRIC
233,D1551,SVOBODA PARK,33969,BBQ,Electric Dble,"509,629.15","6,946,484.09",141829095,153.0975813,-27.60558374,ELECTRIC
234,D0438,NUDGEE BEACH RESERVE,36731,BBQ,Electric Dble,"510,095","6,975,441",141829095,153.10206100000002,-27.34415827,ELECTRIC
235,D0383,MOOROOKA LIONS BICENT. PICNIC GRND PARK,2290,BBQ,Electric Dble,"502,063.54","6,955,282.88",141829095,153.0208968,-27.52618219,ELECTRIC
236,D1845,ROCKS RIVERSIDE PARK,36154,BBQ,Electric Dble,"496,161","6,953,445",141829095,152.9611179,-27.54277053,ELECTRIC
237,D0434,BROADWATER PICNIC GROUND PARK,108773,BBQ,Electric dble,"511,002.14","6,953,222.5",141829095,153.1114336,-27.54474,ELECTRIC
238,D1279,THE LAKE PARKLANDS,30844,BBQ,Electric Dble,"496,354","6,944,393",141829095,152.96304530000003,-27.62449107,ELECTRIC
239,D0518,GEORGE CLAYTON PARK,15229,BBQ,Electric Dble,"518,335","6,964,096",141829095,153.1855385,-27.44649566,ELECTRIC
240,D0056,WHITES HILL RESERVE,7007,BBQ,Electric Dble,"507,796.97","6,957,198.27",141829095,153.0789449,-27.50886936,ELECTRIC
241,D1845,ROCKS RIVERSIDE PARK,36153,BBQ,Electric Dble,"496,246","6,953,557",141829095,152.9619792,-27.54175964,ELECTRIC
242,D0288,MOORA PARK,34715,BBQ,Electric Dble,"508,459.91","6,977,553.18",141829095,153.0855156,-27.32510028,ELECTRIC
243,D0288,MOORA PARK,34149,BBQ,Electric Dble,"508,423.96","6,977,594.62",141829095,153.0851519,-27.32472638,ELECTRIC
244,D0434,BROADWATER PICNIC GROUND PARK,37070,BBQ,Electric Dble,"510,978.83","6,953,269.49",141829095,153.1111971,-27.54431597,ELECTRIC
245,D1158,MULBEAM PARK,2973,BBQ,Electric Dble,"505,260.24","6,974,634.15",141829095,153.05318480000003,-27.35146979,ELECTRIC
246,D0276,SANDGATE FORESHORES PARK,3754,BBQ,Electric Dble,"506,808","6,978,961.81",141829095,153.06880969999997,-27.31239214,ELECTRIC
247,D0206,BOLES STREET PARK,35055,BBQ,Electric Dble,"500,277","6,968,555",141829095,153.002802,-27.40636311,ELECTRIC
248,D0355,DUTTON PARK,180111,BBQ,Electric dble (LOCATION AS PER PROPOSED PLAN),"502,442.49","6,958,643.47",141829095,153.02472749999998,-27.49584237,ELECTRIC
249,D0570,C.A.O SULLIVAN PARK,37297,BBQ,Electric Dble barbecue,"502,408.36","6,948,598",141829095,153.024402,-27.58653189,ELECTRIC
250,D0438,NUDGEE BEACH RESERVE,45865,BBQ,Electric Dble BBQ,"510,004","6,975,486",141829095,153.1011407,-27.34375267,ELECTRIC
251,D2035,JUBILEE AVENUE PARK,36658,BBQ,Electric Dble on tile bench,"494,715","6,944,106",141829095,152.94643159999998,-27.62707662,ELECTRIC
252,D0305,SHERWOOD FOREST PARK,33649,BBQ,Electric Dble rectangle shape,"497,356","6,954,639",141829095,152.9732237,-27.53199407,ELECTRIC
253,D1845,ROCKS RIVERSIDE PARK,122679,BBQ,Electric Dble rectangle shaped,"495,978.86","6,953,585.32",141829095,152.95927360000002,-27.54150321,ELECTRIC
254,D1845,ROCKS RIVERSIDE PARK,36155,BBQ,Electric Dble rectangular,"495,989","6,953,490",141829095,152.959376,-27.54236377,ELECTRIC
255,D0035,COLMSLIE RESERVE,101016,BBQ,electric double,"508,176","6,963,779",141829095,153.0827382,-27.44945651,ELECTRIC
256,D0286,CLIFF STREET PARK,106912,BBQ,Electric double,"507,390.83","6,978,056.17",141829095,153.07470590000003,-27.3205654,ELECTRIC
257,D2672,BULIMBA RIVERSIDE PARK,92402,BBQ,electric double,"505,307.72","6,963,331.32",141829095,153.0537142,-27.45351238,ELECTRIC
258,D0680,KANGAROO POINT CLIFFS PARK,136627,BBQ,Electric double,"503,485","6,960,846",141829095,153.0352754,-27.47595572,ELECTRIC
259,D0074,BEDFORD PLAYGROUND PARK,28407,BBQ,Electric Double,"502,803.31","6,962,977.59",141829095,153.02837040000003,-27.45671332,ELECTRIC
260,D0680,KANGAROO POINT CLIFFS PARK,136625,BBQ,Electric double,"503,487","6,960,920",141829095,153.03529540000002,-27.47528765,ELECTRIC
261,D0228,7TH BRIGADE PARK,20625,BBQ,Electric Double,"504,474.62","6,971,676.89",141829095,153.0452525,-27.3781711,ELECTRIC
262,D0126,SID LODER PARK,161783,BBQ,Electric double,"497,813","6,967,350",141829095,152.97787480000002,-27.417240200000002,ELECTRIC
263,D0723,CARINDALE REC RESERVE,161420,BBQ,Electric double,"510,737.47","6,958,428.9",141829095,153.10870669999997,-27.49773924,ELECTRIC
264,D2672,BULIMBA RIVERSIDE PARK,92394,BBQ,electric double,"505,305.45","6,963,302.45",141829095,153.05369140000002,-27.45377303,ELECTRIC
265,D0530,LOTA CAMPING RESERVE,118456,BBQ,Electric double,"518,989","6,961,971",141829095,153.1921898,-27.4656711,ELECTRIC
266,D0284,SANDGATE SECOND LAGOON RESERVE,130065,BBQ,Electric double,"506,346.84","6,978,747.67",141829095,153.06414980000002,-27.31432765,ELECTRIC
267,D0680,KANGAROO POINT CLIFFS PARK,136626,BBQ,Electric double,"503,487","6,960,885",141829095,153.03529550000002,-27.47560363,ELECTRIC
268,D0228,7TH BRIGADE PARK,28848,BBQ,Electric Double,"503,343.4","6,971,618.14",141829095,153.0338125,-27.37870474,ELECTRIC
269,D0658,KIANAWAH ROAD PARK (NO.330),118401,BBQ,Electric double,"514,475","6,962,895",141829095,153.14649219999998,-27.4573848,ELECTRIC
270,D0658,KIANAWAH ROAD PARK (NO.330),118410,BBQ,Electric double,"514,480","6,962,859",141829095,153.14654330000002,-27.45770976,ELECTRIC
271,D0228,7TH BRIGADE PARK,112924,BBQ,Electric double,"504,509.78","6,971,615.39",141829095,153.0456083,-27.37872621,ELECTRIC
272,D0804,BILL BROWN SPORTS RESERVE,118706,BBQ,Electric double,"503,514","6,975,916",141829095,153.03552539999998,-27.33990267,ELECTRIC
273,D0658,KIANAWAH ROAD PARK (NO.330),118402,BBQ,Electric double,"514,474","6,962,877",141829095,153.1464823,-27.45754732,ELECTRIC
274,D0228,7TH BRIGADE PARK,112603,BBQ,Electric double,"503,358.29","6,971,676.69",141829095,153.0339629,-27.3781761,ELECTRIC
275,D0518,GEORGE CLAYTON PARK,114078,BBQ,Electric double,"518,236.78","6,964,107.65",141829095,153.18454450000002,-27.4463918,ELECTRIC
276,D0276,SANDGATE FORESHORES PARK,68761,BBQ,Electric double - stainless steel top,"507,192.58","6,978,346.9",141829095,153.0727003,-27.31794169,ELECTRIC
277,D0276,SANDGATE FORESHORES PARK,68759,BBQ,Electric double - stainless steel top,"507,091.22","6,978,479.32",141829095,153.071675,-27.31674671,ELECTRIC
278,D0276,SANDGATE FORESHORES PARK,68768,BBQ,Electric double - stainless steel top,"508,182.19","6,977,906.39",141829095,153.0827059,-27.32191313,ELECTRIC
279,D0276,SANDGATE FORESHORES PARK,68769,BBQ,Electric double - stainless steel top,"508,335.6","6,977,743.19",141829095,153.0842577,-27.3233856,ELECTRIC
280,D0276,SANDGATE FORESHORES PARK,68763,BBQ,Electric double - stainless steel top,"508,024.51","6,977,864.76",141829095,153.0811124,-27.32228991,ELECTRIC
281,D0276,SANDGATE FORESHORES PARK,68765,BBQ,Electric double - stainless steel top,"508,323.59","6,977,727.45",141829095,153.0841364,-27.32352778,ELECTRIC
282,D0276,SANDGATE FORESHORES PARK,68764,BBQ,Electric double - stainless steel top,"508,268.93","6,977,866.63",141829095,153.083583,-27.32227157,ELECTRIC
283,D0276,SANDGATE FORESHORES PARK,68766,BBQ,Electric double - stainless steel top,"508,327.13","6,977,754.99",141829095,153.084172,-27.32327912,ELECTRIC
284,D0276,SANDGATE FORESHORES PARK,68762,BBQ,Electric double - stainless steel top,"508,239.62","6,977,885.77",141829095,153.08328659999998,-27.32209895,ELECTRIC
285,D0228,7TH BRIGADE PARK,50301,BBQ,Electric double BBQ,"503,319.41","6,971,677.31",141829095,153.0335697,-27.3781706,ELECTRIC
286,D0517,BAYSIDE PARK,69132,BBQ,Electric double BBQ,"518,508.95","6,963,473.3",141829095,153.1873083,-27.45211502,ELECTRIC
287,D0995,WYNNUM WADING POOL PARK,70665,BBQ,Electric double BBQ,"517,454","6,964,549",141829095,153.1766169,-27.44241757,ELECTRIC
288,D0517,BAYSIDE PARK,69133,BBQ,Electric double BBQ,"518,477.07","6,963,516.24",141829095,153.18698500000002,-27.45172779,ELECTRIC
289,D0572,LES ATKINSON PARK,67759,BBQ,Electric double BBQ,"505,223.9","6,948,967.13",141829095,153.052928,-27.583191499999998,ELECTRIC
290,D0517,BAYSIDE PARK,69134,BBQ,Electric double BBQ,"518,467.01","6,963,504.68",141829095,153.1868834,-27.45183229,ELECTRIC
291,D0245,SHAW ESTATE PARK,68481,BBQ,Electric double BBQ,"504,685.11","6,968,932.42",141829095,153.0473918,-27.40294771,ELECTRIC
292,D1082,MATISSE STREET PARK,68485,BBQ,Electric double BBQ,"502,040.16","6,975,337.47",141829095,153.0206263,-27.34512872,ELECTRIC
293,D0386,MOOLABIN PARK,50139,BBQ,Electric double BBQ @ picnic shelter,"502,531.13","6,955,027.49",141829095,153.0256324,-27.52848704,ELECTRIC
294,D1544,WENDOUREE CRESCENT PARK,50400,BBQ,Electric double BBQ on slab,"490,535.4","6,953,084.41",141829095,152.904138,-27.54599828,ELECTRIC
295,D0512,MELROSE PARK,53195,BBQ,Electric double Plate,"504,402","6,967,788",141829095,153.0445322,-27.41328055,ELECTRIC
296,D0243,O CALLAGHAN PARK,53207,BBQ,Electric double Plate,"504,318.67","6,973,525.05",141829095,153.0436688,-27.36148619,ELECTRIC
297,D0804,BILL BROWN SPORTS RESERVE,72051,BBQ,Electric double stainless Steel BBQ,"503,541.32","6,975,941.41",141829095,153.0358015,-27.33967319,ELECTRIC
298,D0709,ANSTEAD BUSHLAND RESERVE,110124,BBQ,electric double with shelter,"486,312.25","6,953,389.44",141829095,152.8613675,-27.54320842,ELECTRIC
299,D1354,SELKIRK CRESCENT PARK,124825,BBQ,Electric octaganal,"491,862","6,968,125",141829095,152.9176754,-27.41022091,ELECTRIC
300,D0774,STONYCROFT STREET PARK,52823,BBQ,Electric octagonal stless steel bbq,"500,880.74","6,972,557.18",141829095,153.0089064,-27.37023079,ELECTRIC
301,D0346,ORLEIGH PARK,91727,BBQ,electric on brick,"499,846.68","6,959,344.47",141829095,152.9984479,-27.48951596,ELECTRIC
302,D2009,MACQUARIE WAY PARK (NO.123),49959,BBQ,electric rectangle,"505,631.5571","6,941,234.833",141829095,153.0570945,-27.65299544,ELECTRIC
303,D1195,BILLABONG PLACE PARK,37396,BBQ,electric rectangle,"503,748.2557","6,943,429.636",141829095,153.03799419999999,-27.63318783,ELECTRIC
304,D1195,BILLABONG PLACE PARK,186286,BBQ,electric rectangle,"503,641.9503","6,943,531.545",141829095,153.03691630000003,-27.632268100000005,ELECTRIC
305,D1338,LAKEWOOD AVENUE PARK,186195,BBQ,electric rectangle,"504,002.3514",6943167.438999999,141829095,153.0405707,-27.63555415,ELECTRIC
306,D1845,ROCKS RIVERSIDE PARK,122776,BBQ,Electric rectangle shaped,"496,349.19","6,953,406.32",141829095,152.9630238,-27.54312025,ELECTRIC
307,D0150,UPPER KEDRON RECREATION RESERVE,121880,BBQ,Electric rectangle shaped,"492,431.53","6,968,158.76",141829095,152.9234371,-27.409919399999996,ELECTRIC
308,D0150,UPPER KEDRON RECREATION RESERVE,121878,BBQ,Electric rectangle shaped,"492,420.99","6,968,121.74",141829095,152.92333019999998,-27.41025356,ELECTRIC
309,D1939,MT CROSBY SPORTSGROUND,121164,BBQ,Electric rectangle shaped,"479,833.21","6,953,686.07",141829095,152.7957516,-27.54044956,ELECTRIC
310,D1939,MT CROSBY SPORTSGROUND,121172,BBQ,Electric rectangle shaped,"479,826.49","6,953,681.02",141829095,152.7956835,-27.54049506,ELECTRIC
311,D0204,GIBSON PARK,49467,BBQ,Electric s/steel BBQ dble,"501,471","6,967,961",141829095,153.0148809,-27.41172501,ELECTRIC
312,D0553,SALISBURY RECREATION RESERVE,24113,BBQ,Electric Single,"503,278.68","6,952,715.7",141829095,153.033209,-27.54935604,ELECTRIC
313,D0686,BRUSHBOX PARK,2896,BBQ,Electric Single,"508,723.86","6,952,306.04",141829095,153.08836499999998,-27.55303028,ELECTRIC
314,D0229,JOHN PATTERSON PARK,25730,BBQ,Electric Single,"502,792.13","6,970,559.42",141829095,153.0282398,-27.38826421,ELECTRIC
315,D0982,BISSET PLACE PARK,67598,BBQ,Electric single,"499,168.13","6,970,935.28",141829095,152.9915867,-27.38487351,ELECTRIC
316,D0346,ORLEIGH PARK,33566,BBQ,Electric Single,"499,804","6,959,339",141829095,152.99801580000002,-27.48956534,ELECTRIC
317,D0346,ORLEIGH PARK,28669,BBQ,Electric Single,"499,804","6,959,339",141829095,152.99801580000002,-27.48956534,ELECTRIC
318,D1251,BRAMPTON STREET PARK,47043,BBQ,Electric single,"509,733.53","6,950,171.44",141829095,153.09860930000002,-27.57229426,ELECTRIC
319,D0948,SOAMES STREET PARK,2589,BBQ,Electric Single,"498,232","6,970,243",141829095,152.9821179,-27.39112259,ELECTRIC
320,D0242,JOSEPH LEE PARK,9779,BBQ,Electric Single,"504,768.21","6,974,485.4",141829095,153.0482106,-27.35281453,ELECTRIC
321,D0224,LEN TREZONA PARK,29129,BBQ,Electric Single,"503,655.95","6,973,316.08",141829095,153.0369683,-27.36337474,ELECTRIC
322,D0837,JOHN TUCKER PARK,4017,BBQ,Electric Single,"497,869.26","6,969,964.84",141829095,152.9784485,-27.39363332,ELECTRIC
323,D1178,LAMBERT MCBRIDE PARK,33515,BBQ,Electric Single,"505,038","6,973,910.11",141829095,153.0509408,-27.35800736,ELECTRIC
324,D0305,SHERWOOD FOREST PARK,606,BBQ,Electric Single,"497,376","6,954,624",141829095,152.97342619999998,-27.53212953,ELECTRIC
325,D0995,WYNNUM WADING POOL PARK,70625,BBQ,Electric Single,"517,397","6,964,638",141829095,153.1760389,-27.44161481,ELECTRIC
326,D0227,MARCHANT PARK,41644,BBQ,Electric Single,"502,952.8","6,971,711.02",141829095,153.029862,-27.37786711,ELECTRIC
327,D0346,ORLEIGH PARK,1003,BBQ,Electric Single,"500,123.47","6,959,296.56",141829095,153.0012499,-27.48994849,ELECTRIC
328,D0276,SANDGATE FORESHORES PARK,30234,BBQ,Electric Single,"508,202.01","6,977,881.31",141829095,153.0829064,-27.32213944,ELECTRIC
329,D0197,BANCROFT PARK,36057,BBQ,Electric Single,"500,570.81","6,964,373.62",141829095,153.0057761,-27.44411271,ELECTRIC
330,D0078,TENERIFFE PARK,19398,BBQ,Electric Single,"504,591","6,962,793",141829095,153.046463,-27.45837494,ELECTRIC
331,D0287,SHEPHERD PLACE PARK,25639,BBQ,Electric Single,"507,992.56","6,977,806.83",141829095,153.0807898,-27.322813099999998,ELECTRIC
332,D1815,CARNARVON WAY PARK,38932,BBQ,Electric Single,"509,414.15","6,962,432",141829095,153.09527830000002,-27.46160921,ELECTRIC
333,D0276,SANDGATE FORESHORES PARK,32532,BBQ,Electric Single,"506,866.77","6,978,851.55",141829095,153.0694043,-27.31338729,ELECTRIC
334,D0244,BOWDEN PARK,34705,BBQ,Electric Single,"504,920.73","6,972,116.16",141829095,153.04976230000003,-27.37420378,ELECTRIC
335,D1394,BARRETT STREET PARK (WATER RESERVE),160799,BBQ,Electric single,"503,176","6,978,060",141829095,153.03210269999997,-27.320547100000002,ELECTRIC
336,D0240,DONNA PHILP PARK,24160,BBQ,Electric Single,"506,448.84","6,974,640.42",141829095,153.0652024,-27.35140809,ELECTRIC
337,D0995,WYNNUM WADING POOL PARK,76105,BBQ,Electric single,"517,388","6,964,635",141829095,153.17594780000002,-27.44164201,ELECTRIC
338,D0217,ASPLEY REST PARK,14988,BBQ,Electric Single,"501,520.46","6,974,159.05",141829095,153.0153735,-27.35576834,ELECTRIC
339,D0798,WENDON WAY PARK,25539,BBQ,Electric Single,"498,543.59","6,973,559.52",141829095,152.9852733,-27.36118105,ELECTRIC
340,D0276,SANDGATE FORESHORES PARK,23570,BBQ,Electric Single,"506,406.6","6,981,156.95",141829095,153.0647412,-27.29257591,ELECTRIC
341,D0456,PLAISTED PLACE PARK,121979,BBQ,Electric single,"506,035","6,970,274",141829095,153.0610398,-27.39083051,ELECTRIC
342,D0174,NEAL MACROSSAN PLAYGROUND PARK,26117,BBQ,Electric Single,"501,018.16","6,962,388.73",141829095,153.01030459999998,-27.46203206,ELECTRIC
343,D1252,TINCHI TAMBA WETLANDS RESERVE,79531,BBQ,Electric Single,"503,451","6,980,419",141829095,153.0348758,-27.29924892,ELECTRIC
344,D0178,BOWMAN PARK,44722,BBQ,Electric Single,"497,836.08","6,962,721.27",141829095,152.9781,-27.45902855,ELECTRIC
345,D0989,LEACROFT ROAD PARK,79309,BBQ,electric single,"516,235.68","6,950,359.88",141829095,153.1644791,-27.57053067,ELECTRIC
346,D0194,CORBIE STREET PARK,22977,BBQ,Electric Single,"499,984.62","6,964,895.18",141829095,152.9998444,-27.43940417,ELECTRIC
347,D1638,CRIBB ROAD PARK,81809,BBQ,electric single,"511,803.03","6,955,060.63",141829095,153.11952730000002,-27.52813884,ELECTRIC
348,D1763,COLMSLIE BEACH RESERVE,25647,BBQ,Electric Single,"5,090,133","6,963,748",141829095,153.0910332,-21.24975114,ELECTRIC
349,D0275,DECKER PARK,3706,BBQ,Electric Single,"506,392.84","6,981,871.13",141829095,153.06459840000002,-27.45095493,ELECTRIC
350,D0317,NIXON PARK,6782,BBQ,Electric Single,"497,940.26","6,952,423.76",141829095,152.9791368,-27.55199404,ELECTRIC
351,D0317,NIXON PARK,6781,BBQ,Electric Single,"497,844.34","6,952,383.89",141829095,152.97816519999998,-27.55235383,ELECTRIC
352,D0228,7TH BRIGADE PARK,34355,BBQ,Electric single,"503,425.55","6,971,873.37",141829095,153.03464250000002,-27.37640029,ELECTRIC
353,D0228,7TH BRIGADE PARK,34356,BBQ,Electric single,"503,422.79","6,971,893.4",141829095,153.0346146,-27.37621946,ELECTRIC
354,D0228,7TH BRIGADE PARK,50598,BBQ,Electric single,"503,425.6","6,971,933.71",141829095,153.0346429,-27.37585553,ELECTRIC
355,D2022,BLUE RANGE DRIVE PARK,37635,BBQ,Electric Single,"503,544.01","6,946,868.56",141829095,153.03591369999998,-27.60214247,ELECTRIC
356,D0228,7TH BRIGADE PARK,26745,BBQ,Electric Single,"503,348.49","6,971,680",141829095,153.0338638,-27.37814625,ELECTRIC
357,D0408,GUYATT PARK,16986,BBQ,Electric Single,"500,171.08","6,958,986.24",141829095,153.0017319,-27.49275004,ELECTRIC
358,D0660,CANTERBURY PARK,14313,BBQ,Electric Single,"500,869","6,979,652",141829095,153.0087826,-27.30617763,ELECTRIC
359,D0995,WYNNUM WADING POOL PARK,76100,BBQ,Electric single,"517,414.18","6,964,665.77",141829095,153.1762123,-27.44136388,ELECTRIC
360,D1075,GUS DAVIES PARK,27171,BBQ,Electric Single,"502,021","6,979,575",141829095,153.0204256,-27.30687158,ELECTRIC
361,D1394,BARRETT STREET PARK (WATER RESERVE),77722,BBQ,Electric single,"503,176","6,978,083",141829095,153.03210269999997,-27.32033945,ELECTRIC
362,D1394,BARRETT STREET PARK (WATER RESERVE),77721,BBQ,Electric single,"503,178.61","6,978,113.85",141829095,153.032129,-27.32006092,ELECTRIC
